time,V_C,I_L,V_IN,V_C
0.0,0.0,0.0,13.74298756120102,0.0
2e-07,0.0,0.05560884109415286,12.581736690546435,0.0
4e-07,0.04119173414381693,0.10585036509988502,11.89593153701149,0.04119173414381693
6e-07,0.1195994119955836,0.15254547530172746,10.147718163886655,0.1195994119955836
8e-07,0.23259606036723357,0.19128503762160137,8.903853382090137,0.23259606036723357
1e-06,0.374288680827679,0.2240649942624848,8.263504238125867,0.374288680827679
1.2e-06,0.5402627506517418,0.2532833982606688,6.6430798537632105,0.5402627506517418
1.4e-06,0.7278800826966816,0.27491623311414665,4.594793258790225,0.7278800826966816
1.6e-06,0.9315217368553087,0.2872341676617406,2.2186773975952816,0.9315217368553087
1.8e-06,1.1442877869751165,0.2889569121188419,-0.9455294177290742,1.1442877869751165
2e-06,1.3583299441001846,0.2769846407849842,-4.691066784842985,1.3583299441001846
2.2e-06,1.5635037520890618,0.2491254752429649,-8.681696368029488,1.5635037520890618
2.4e-06,1.7480411411579246,0.2046187323008717,-11.497006635431601,1.7480411411579246
2.5999999999999997e-06,1.8996105724919037,0.1485131485723404,-13.217325820529318,1.8996105724919037
2.8e-06,2.0096203121751186,0.08551971744118081,-13.90751969419798,2.0096203121751186
3e-06,2.0729682510204377,0.020062201086408882,-14.13754821797546,2.0729682510204377
3.2e-06,2.087829140714074,-0.04577771363787063,-14.932849578133213,2.087829140714074
3.3999999999999996e-06,2.0539197232045403,-0.1141008266699533,-16.038513500572936,2.0539197232045403
3.6e-06,1.9694005923379083,-0.1859433598925325,-17.03849823396798,1.9694005923379083
3.8e-06,1.8316647701952917,-0.26063205137111656,-18.46713167704334,1.8316647701952917
4e-06,1.638603991401872,-0.33965441341317476,-19.605123522013944,1.638603991401872
4.2e-06,1.387008129614335,-0.421559824325258,-20.74683944477136,1.387008129614335
4.4e-06,1.074741593077107,-0.5060937033506882,-21.942149084950348,1.074741593077107
4.6e-06,0.6998573683728935,-0.5931979589676741,-22.650072949858973,0.6998573683728935
4.8e-06,0.2604514728412831,-0.6806150939647979,-23.009362048578865,0.2604514728412831
4.9999999999999996e-06,-0.2437078560215301,-0.7666676218403198,-23.30438570801536,-0.2437078560215301
5.199999999999999e-06,-0.8116097981254706,-0.8508488205570071,-23.128002990233654,-0.8116097981254706
5.4e-06,-1.4418681837232534,-0.931010304181676,-23.290079773700178,-1.4418681837232534
5.6e-06,-2.1315054460800504,-1.0083187379375085,-23.149758419307133,-2.1315054460800504
5.7999999999999995e-06,-2.8784082149226493,-1.0813391696139971,-22.63428928781339,-2.8784082149226493
6e-06,-3.679400192414499,-1.1483657882352656,-22.173060052795137,-3.679400192414499
6.2e-06,-4.530041517033214,-1.2094681636013735,-21.75616431156259,-4.530041517033214
6.4e-06,-5.425943860441639,-1.264693014646543,-21.854830019686208,-5.425943860441639
6.5999999999999995e-06,-6.36275350092056,-1.3160187766194666,-21.618560547206283,-6.36275350092056
6.799999999999999e-06,-7.337582224342387,-1.3619636445177439,-21.426213288980822,-7.337582224342387
7e-06,-8.346444183244419,-1.4026141702425372,-21.390969822224765,-8.346444183244419
7.2e-06,-9.385417642683334,-1.438532386012792,-20.934957491362827,-9.385417642683334
7.3999999999999995e-06,-10.450997187877995,-1.4679407733407857,-20.925085988261888,-10.450997187877995
7.6e-06,-11.538360723685985,-1.4926217784696747,-21.974953335811833,-11.538360723685985
7.8e-06,-12.644006485515373,-1.5168520804203596,-23.89807883429762,-12.644006485515373
8e-06,-13.767600619160083,-1.5441140974833036,-25.744080293012228,-13.767600619160083
8.2e-06,-14.911388839518086,-1.5739853360886613,-27.83389098756058,-14.911388839518086
8.4e-06,-16.077303903287465,-1.607344782923865,-29.281125206376267,-16.077303903287465
8.599999999999999e-06,-17.267929668416254,-1.641447192683133,-31.28300024178162,-17.267929668416254
8.8e-06,-18.483816477811168,-1.6784404568927607,-32.46664845666713,-18.483816477811168
9e-06,-19.727105705139138,-1.714857930910751,-33.22368267916899,-19.727105705139138
9.2e-06,-20.997370839147102,-1.7488582074932093,-34.00736294842362,-20.997370839147102
9.4e-06,-22.292821363216145,-1.7804682489026566,-34.970460247843384,-22.292821363216145
9.6e-06,-23.61168673277367,-1.8103441844735462,-35.70773938073403,-23.61168673277367
9.8e-06,-24.952682424976295,-1.8374912703138568,-36.18523888004138,-24.952682424976295
9.999999999999999e-06,-26.313787069653227,-1.860793205069921,-35.99127617826989,-26.313787069653227
1.0199999999999999e-05,-27.692152406742057,-1.8774777529576265,-35.54604600279675,-27.692152406742057
1.0399999999999999e-05,-29.08287666819215,-1.8865294592866795,-35.04873945825666,-29.08287666819215
1.06e-05,-30.480305897293395,-1.8877774924080075,-34.73565167637364,-30.480305897293395
1.08e-05,-31.8786595953734,-1.8820400650560563,-34.44772437500764,-31.8786595953734
1.1e-05,-33.272763347266775,-1.8695017540196024,-34.22289373268442,-33.272763347266775
1.12e-05,-34.65757946135537,-1.8505213379274859,-35.05845770675232,-34.65757946135537
1.14e-05,-36.02833600796832,-1.8295373631949217,-36.67624139569887,-36.02833600796832
1.1599999999999999e-05,-37.383548869594186,-1.8098186565892156,-37.9200173385852,-37.383548869594186
1.1799999999999999e-05,-38.724155281882496,-1.7898892413518388,-38.89080367947426,-38.724155281882496
1.2e-05,-40.04999916436534,-1.7686994454197758,-39.845874297981375,-40.04999916436534
1.22e-05,-41.36014690171332,-1.746261195868913,-40.67709663195891,-41.36014690171332
1.24e-05,-42.65367371346807,-1.7221498114588258,-41.30712778499881,-42.65367371346807
1.26e-05,-43.92934024047461,-1.6956349322174957,-42.21955068563965,-43.92934024047461
1.28e-05,-45.185366116191275,-1.6679690285458506,-43.5114972761196,-45.185366116191275
1.3e-05,-46.42089872992894,-1.6407911489431377,-44.82324334404378,-46.42089872992894
1.3199999999999999e-05,-47.636299580997935,-1.6142590265192043,-46.46991211343785,-47.636299580997935
1.3399999999999999e-05,-48.832047008049194,-1.5898090903658457,-48.12439237768427,-48.832047008049194
1.3599999999999999e-05,-50.00968337128315,-1.5675268190682323,-50.37126460313444,-50.00968337128315
1.38e-05,-51.17081434837073,-1.5498683958408506,-52.04555581832716,-51.17081434837073
1.4e-05,-52.31886501195655,-1.534514242053199,-53.1457749513561,-52.31886501195655
1.42e-05,-53.45554222829225,-1.5191540380325042,-53.79662076155466,-53.45554222829225
1.44e-05,-54.58084151572373,-1.50200656103094,-53.56229696970547,-54.58084151572373
1.4599999999999999e-05,-55.693438968339244,-1.4795407225695576,-52.11495885267606,-55.693438968339244
1.4799999999999999e-05,-56.78939505913151,-1.4469423416291711,-50.184620027747265,-56.78939505913151
1.4999999999999999e-05,-57.86120420107904,-1.4024431055508424,-49.366965959672704,-57.86120420107904
1.52e-05,-58.90005094593152,-1.350815443051744,-49.58467559551582,-58.90005094593152
1.5399999999999998e-05,-59.9006549778217,-1.2964920786591354,-50.2550580179456,-59.9006549778217
1.56e-05,-60.86101948053217,-1.2415018756963043,-50.84055150104615,-60.86101948053217
1.5799999999999998e-05,-61.78065049956647,-1.185671689536115,-51.16228919144851,-61.78065049956647
1.6e-05,-62.65892582514878,-1.1281062736786682,-51.720822562774664,-62.65892582514878
1.62e-05,-63.49456010194779,-1.0699568620034547,-52.30174770555379,-63.49456010194779
