time,V_C,I_L,V_IN,V_C
0.0,0.0,0.0,13.74298756120102,0.0
2e-07,0.0,0.05497195024480407,12.581736690546435,0.0
4e-07,0.040719963144299307,0.10463923360405217,11.89593153701149,0.040719963144299307
6e-07,0.1182305065547083,0.1508044090962723,10.147718163886655,0.1182305065547083
8e-07,0.22993747625565072,0.18911270681644482,8.903853382090137,0.22993747625565072
1e-06,0.37002096278635055,0.22153901795798542,8.263504238125867,0.37002096278635055
1.2e-06,0.5341239390515249,0.25045448284384764,6.6430798537632105,0.5341239390515249
1.4e-06,0.7196457781951157,0.2718848527085682,4.594793258790225,0.7196457781951157
1.6e-06,0.9210419653866476,0.28412282439844583,2.2186773975952816,0.9210419653866476
1.8e-06,1.1315033167929038,0.285903892234499,-0.9455294177290742,1.1315033167929038
2e-06,1.3432839777073475,0.27416491458959713,-4.691066784842985,1.3432839777073475
2.2e-06,1.5463690996255677,0.24673753256432063,-8.681696368029488,1.5463690996255677
2.4e-06,1.7291376422658051,0.20286442030292856,-11.497006635431601,1.7291376422658051
2.5999999999999997e-06,1.8794075832309374,0.14752547014850378,-13.217325820529318,1.8794075832309374
2.8e-06,1.9886857092668662,0.08536823089168072,-13.90751969419798,1.9886857092668662
3e-06,2.0519214358532962,0.02075899050712117,-14.13754821797546,2.0519214358532962
3.2e-06,2.0672984658585714,-0.04424799599427931,-14.932849578133213,2.0672984658585714
3.3999999999999996e-06,2.0345221725294755,-0.1117176122183151,-16.038513500572936,2.0345221725294755
3.6e-06,1.951768385701094,-0.18266914356410496,-17.03849823396798,1.951768385701094
3.8e-06,1.8164579089869421,-0.256438180320012,-18.46713167704334,1.8164579089869421
4e-06,1.6265037013424888,-0.334495280500293,-19.605123522013944,1.6265037013424888
4.2e-06,1.37872941949042,-0.4154078460277152,-20.74683944477136,1.37872941949042
4.4e-06,1.0710199039143347,-0.4989252273324297,-21.942149084950348,1.0710199039143347
4.6e-06,0.7014456614458682,-0.5849908005598993,-22.650072949858973,0.7014456614458682
4.8e-06,0.26811914251260954,-0.6713769853983999,-23.009362048578865,0.26811914251260954
4.9999999999999996e-06,-0.22919714296768656,-0.756430386337985,-23.30438570801536,-0.22919714296768656
5.199999999999999e-06,-0.7895159476624901,-0.8396539759621199,-23.128002990233654,-0.7895159476624901
5.4e-06,-1.4114818557825788,-0.9189320764208591,-23.290079773700178,-1.4114818557825788
5.6e-06,-2.092172282760993,-0.9954192831754791,-23.149758419307133,-2.092172282760993
5.7999999999999995e-06,-2.8295198999280142,-1.0677045963235579,-22.63428928781339,-2.8295198999280142
6e-06,-3.62041219350102,-1.1341112187192166,-22.173060052795137,-3.62041219350102
6.2e-06,-4.460494577737476,-1.1947124755317624,-21.75616431156259,-4.460494577737476
6.4e-06,-5.345466781835078,-1.2495586047606817,-21.854830019686208,-5.345466781835078
6.5999999999999995e-06,-6.271065748324471,-1.300601354454958,-21.618560547206283,-6.271065748324471
6.799999999999999e-06,-7.234474159031847,-1.3463841173970257,-21.426213288980822,-7.234474159031847
7e-06,-8.231795727474088,-1.3869944645080572,-21.390969822224765,-8.231795727474088
7.2e-06,-9.259199034517094,-1.4229872273129631,-20.934957491362827,-9.259199034517094
7.3999999999999995e-06,-10.313263647341511,-1.4526144144125905,-20.925085988261888,-10.313263647341511
7.6e-06,-11.389274324684171,-1.477630330803321,-21.974953335811833,-11.389274324684171
7.8e-06,-12.48381531046441,-1.5022414828781918,-23.89807883429762,-12.48381531046441
8e-06,-13.59658677926307,-1.5298716391789864,-25.744080293012228,-13.59658677926307
8.2e-06,-14.729825030506763,-1.5601031535638352,-27.83389098756058,-14.729825030506763
8.4e-06,-15.885456996109603,-1.5937981795492844,-29.281125206376267,-15.885456996109603
8.599999999999999e-06,-17.066048240220184,-1.6282552742357597,-31.28300024178162,-17.066048240220184
8.8e-06,-18.272163258172597,-1.6655840189511764,-32.46664845666713,-18.272163258172597
9e-06,-19.505929198136432,-1.7023749515177404,-33.22368267916899,-19.505929198136432
9.2e-06,-20.766947680742167,-1.7368174660236577,-34.00736294842362,-20.766947680742167
9.4e-06,-22.053479137055987,-1.7689373175020997,-34.970460247843384,-22.053479137055987
9.6e-06,-23.363803075946432,-1.7993779941352241,-35.70773938073403,-23.363803075946432
9.8e-06,-24.696675664194746,-1.827161203424752,-36.18523888004138,-24.696675664194746
9.999999999999999e-06,-26.05012840747234,-1.8511895218470416,-35.99127617826989,-26.05012840747234
1.0199999999999999e-05,-27.421379905136813,-1.8687398386680674,-35.54604600279675,-27.421379905136813
1.0399999999999999e-05,-28.80563163748353,-1.8788136249946903,-35.04873945825666,-28.80563163748353
1.06e-05,-30.197345433775894,-1.8812402927778467,-34.73565167637364,-30.197345433775894
1.08e-05,-31.590856761759483,-1.8768186342349036,-34.44772437500764,-31.590856761759483
1.1e-05,-32.98109278711867,-1.8657242810770773,-34.22289373268442,-32.98109278711867
1.12e-05,-34.36311077310169,-1.8483027934864154,-35.05845770675232,-34.36311077310169
1.14e-05,-35.732223953462,-1.828904547699181,-36.67624139569887,-35.732223953462
1.1599999999999999e-05,-37.0869680628688,-1.8107337628957383,-37.9200173385852,-37.0869680628688
1.1799999999999999e-05,-38.428252331680454,-1.792337154843855,-38.89080367947426,-38.428252331680454
1.2e-05,-39.755909483416644,-1.772679314376904,-39.845874297981375,-39.755909483416644
1.22e-05,-41.06900527184398,-1.75176702186264,-40.67709663195891,-41.06900527184398
1.24e-05,-42.36661047322371,-1.729178183040748,-41.30712778499881,-42.36661047322371
1.26e-05,-43.64748320140204,-1.7041901140913593,-42.21955068563965,-43.64748320140204
1.28e-05,-44.90984624887712,-1.6780281026592134,-43.5114972761196,-44.90984624887712
1.3e-05,-46.15283002862469,-1.6522983695362727,-44.82324334404378,-46.15283002862469
1.3199999999999999e-05,-47.376754746799705,-1.6271524423635138,-46.46991211343785,-47.376754746799705
1.3399999999999999e-05,-48.58205285225416,-1.6039992425217042,-48.12439237768427,-48.58205285225416
1.3599999999999999e-05,-49.770200439307274,-1.5829206097131643,-50.37126460313444,-49.770200439307274
1.38e-05,-50.94273422427999,-1.566329819051915,-52.04555581832716,-50.94273422427999
1.4e-05,-52.102978534688816,-1.5519451475994808,-53.1457749513561,-52.102978534688816
1.42e-05,-53.25256753291065,-1.5374929914949562,-53.79662076155466,-53.25256753291065
1.44e-05,-54.391451230314324,-1.5212192885115927,-53.56229696970547,-54.391451230314324
1.4599999999999999e-05,-55.5182803329155,-1.4996480400070182,-52.11495885267606,-55.5182803329155
1.4799999999999999e-05,-56.6291307329207,-1.4680389776059763,-50.184620027747265,-56.6291307329207
1.4999999999999999e-05,-57.71656701262883,-1.4246444670540108,-49.366965959672704,-57.71656701262883
1.52e-05,-58.771859210446614,-1.374150329237538,-49.58467559551582,-58.771859210446614
1.5399999999999998e-05,-59.78974834321516,-1.3209117908269645,-50.2550580179456,-59.78974834321516
1.56e-05,-60.768201521605505,-1.2669220880359626,-50.84055150104615,-60.768201521605505
1.5799999999999998e-05,-61.70666232755807,-1.2120084228972936,-51.16228919144851,-61.70666232755807
1.6e-05,-62.604446344519026,-1.1552868292780878,-51.720822562774664,-62.604446344519026
1.62e-05,-63.4602143662065,-1.0978888921997734,-52.30174770555379,-63.4602143662065
1.64e-05,-64.27346539746559,-1.0400803588507652,-53.27435254406783,-64.27346539746559
1.66e-05,-65.04389529291059,-0.983602943130965,-54.77299882643631,-65.04389529291059
1.68e-05,-65.7724900656002,-0.9307161219474962,-57.11292690229531,-65.7724900656002
1.7e-05,-66.46190941519093,-0.8849092758309067,-60.14561239377563,-66.46190941519093
1.7199999999999998e-05,-67.11739776765828,-0.8490251764352746,-63.94470765815213,-67.11739776765828
1.74e-05,-67.74630530575848,-0.8261461138800268,-68.03425568933035,-67.74630530575848
1.76e-05,-68.35826539011406,-0.817384162047754,-71.5142735897182,-68.35826539011406
1.78e-05,-68.96373513977906,-0.8201995849015975,-74.74109557858915,-68.96373513977906
1.8e-05,-69.57129038785432,-0.8334666316380187,-76.33926450894407,-69.57129038785432
1.82e-05,-70.18867307795655,-0.8505369285427216,-77.12994533768226,-70.18867307795655
1.84e-05,-70.81870043243264,-0.8680955744391118,-77.75897795413533,-70.81870043243264
1.8599999999999998e-05,-71.46173419127642,-0.8854395376326533,-78.62959906972506,-71.46173419127642
1.88e-05,-72.11761533026358,-0.9034857226948559,-79.19399114212031,-72.11761533026358
1.8999999999999998e-05,-72.78686401374125,-0.9209493972699446,-79.85919619527638,-72.78686401374125
1.92e-05,-73.46904875245973,-0.9381873332288458,-80.0725982308085,-73.46904875245973
1.94e-05,-74.16400233262924,-0.9533432831434947,-78.80529199045384,-74.16400233262924
1.96e-05,-74.87018254236516,-0.9604683223770711,-77.09274351953125,-74.87018254236516
1.98e-05,-75.58164055894076,-0.9578329464172106,-74.89637945193319,-75.58164055894076
1.9999999999999998e-05,-76.29114644517573,-0.9435979066321738,-72.99631934452562,-76.29114644517573
2.02e-05,-76.99010785749586,-0.9190954233499873,-71.01168551735503,-76.99010785749586
2.0399999999999998e-05,-77.67091928219955,-0.8841525889092241,-68.2069222805271,-77.67091928219955
2.06e-05,-78.325847125836,-0.8356867698356236,-65.35926918609397,-78.325847125836
2.0799999999999997e-05,-78.94487436275128,-0.773792216838628,-61.618838523185715,-78.94487436275128
2.1e-05,-79.51805378263174,-0.6952025668783022,-57.491213831783426,-79.51805378263174
2.12e-05,-80.03301864698604,-0.5987527762723692,-53.67783215061131,-80.03301864698604
2.14e-05,-80.4765392220026,-0.48614699697160185,-49.63595876569266,-80.4765392220026
2.16e-05,-80.83664810864823,-0.35695091118270295,-45.08518555590417,-80.83664810864823
2.1799999999999998e-05,-81.1010561910058,-0.20966165003753426,-40.50779805574119,-81.1010561910058
2.2e-05,-81.25636111695952,-0.04477267769602547,-37.03447844166501,-81.25636111695952
2.2199999999999998e-05,-81.28952606340103,0.13265212513750493,-34.372358750997144,-81.28952606340103
2.24e-05,-81.19126522996584,0.3187289688854704,-32.07803386047291,-81.19126522996584
2.26e-05,-80.95516969745808,0.5113571467368165,-29.8772460239474,-80.95516969745808
2.28e-05,-80.57638662580118,0.7095325556700174,-27.425671339182955,-80.57638662580118
2.3e-05,-80.0508069549345,0.9136210261484501,-25.097443338815552,-80.0508069549345
2.3199999999999998e-05,-79.37405063926899,1.1224710282991446,-23.534208938249215,-79.37405063926899
2.34e-05,-78.54259061830666,1.332360742763634,-21.929025955421736,-78.54259061830666
2.3599999999999998e-05,-77.55565673477804,1.54282667250201,-19.93694488525819,-77.55565673477804
2.38e-05,-76.41282216255433,1.7547875998300655,-17.506941760556355,-76.41282216255433
2.4e-05,-75.11297949601355,1.9693536702400967,-14.423661076256227,-75.11297949601355
2.42e-05,-73.6541989995394,2.188478699876245,-10.844280688330475,-73.6541989995394
2.44e-05,-72.03310366629773,2.4134566287225656,-7.111397597547594,-72.03310366629773
2.4599999999999998e-05,-70.24535801539213,2.6441819734528953,-3.7960204520294765,-70.24535801539213
2.48e-05,-68.28670470172332,2.878249140024911,-1.525624792229667,-68.28670470172332
2.4999999999999998e-05,-66.15466830170487,3.1107544699825866,0.6538207390147619,-66.15466830170487
2.52e-05,-63.8504057313474,3.3406593725056744,2.9141881778189838,-63.8504057313474
2.5399999999999997e-05,-61.37584323319505,3.567629835672272,5.0396805657939625,-61.37584323319505
2.56e-05,-58.733154466030406,3.7904803728401606,6.228096113313184,-58.733154466030406
2.58e-05,-55.925391226889545,4.004839610683453,6.726980446172184,-55.925391226889545
2.6e-05,-52.958843367124025,4.207391022047498,7.6143371349777045,-52.958843367124025
2.62e-05,-49.84225742486662,4.399195051791335,8.657418558508619,-49.84225742486662
2.6399999999999998e-05,-46.5835944235397,4.580403415103341,10.00222008558,-46.5835944235397
2.66e-05,-43.19070300494464,4.75178183215858,11.370989107876866,-43.19070300494464
2.6799999999999998e-05,-39.6708646107531,4.913007218623963,12.799903701142759,-39.6708646107531
2.7e-05,-36.03160000436498,5.063934205248058,14.578412035420051,-36.03160000436498
2.7199999999999997e-05,-32.28053763010716,5.205607042944222,16.098598723069586,-32.28053763010716
2.74e-05,-28.424532413111443,5.336656303841599,17.435382453021344,-28.424532413111443
2.76e-05,-24.471453669525076,5.456056087660031,18.379955665684754,-24.471453669525076
2.7799999999999998e-05,-20.429930641628758,5.56198905194895,18.911859358303055,-20.429930641628758
2.8e-05,-16.3099387512962,5.6526123433252895,19.20017422323418,-16.3099387512962
2.8199999999999998e-05,-12.122818496981171,5.726821447103507,19.4682807281366,-12.122818496981171
2.84e-05,-7.880728536163759,5.784463986638737,19.646344006830784,-7.880728536163759
2.8599999999999997e-05,-3.5959403979128437,5.82515870897105,20.293279120370453,-3.5959403979128437
2.88e-05,0.7189919791027481,5.850813682536531,20.539952502850003,0.7189919791027481
2.9e-05,5.052928040240919,5.859887760441081,20.471583715709407,5.052928040240919
2.9199999999999998e-05,9.393585640567645,5.8512437300176625,20.32470573881472,9.393585640567645
2.94e-05,13.727840255395542,5.824753285650439,20.9253978920183,13.727840255395542
2.9599999999999998e-05,18.04247231884031,5.783646476769125,21.916875829358588,18.04247231884031
2.98e-05,22.326654894224845,5.7297403330899686,23.214746496604903,22.326654894224845
2.9999999999999997e-05,26.570906992810006,5.6645358155024095,23.78255299562249,26.570906992810006
3.02e-05,30.766859448737716,5.585407969727631,24.36571398546919,30.766859448737716
3.04e-05,34.90419868557299,5.492778492237825,25.425705294946212,34.90419868557299
3.06e-05,38.972923494638046,5.388951176768464,26.71337185981058,38.972923494638046
3.0799999999999996e-05,42.964739181133204,5.275245556107933,28.422905382502762,42.964739181133204
3.1e-05,46.87232848195389,5.153775274240116,30.064063332779646,46.87232848195389
3.12e-05,50.689939796205834,5.024696910352538,32.60000653508566,50.689939796205834
3.14e-05,54.41193750757808,4.892040814383827,36.35167365485615,54.41193750757808
3.1599999999999996e-05,58.035671444158694,4.761095269200333,39.902300757540154,58.035671444158694
3.18e-05,61.56240868060338,4.631428643223455,43.120815220884914,61.56240868060338
3.2e-05,64.99309656447261,4.502085125665899,47.065000093192694,64.99309656447261
3.22e-05,68.32797443533623,4.376347718272789,51.722009525649185,68.32797443533623
3.24e-05,71.56971348590866,4.257407686014767,55.931572747070824,71.56971348590866
3.26e-05,74.72334880888256,4.1437662308272385,59.50898305806361,74.72334880888256
3.28e-05,77.792805276162,4.0331835730540355,62.430166011379036,77.792805276162
3.2999999999999996e-05,80.78034866360943,3.923334813118255,64.22909819959753,80.78034866360943
3.32e-05,83.68652259925258,3.8100497935047883,65.04717050525497,83.68652259925258
3.34e-05,86.50878170555242,3.6897717876067406,64.98403563648768,86.50878170555242
3.36e-05,89.24194599266852,3.559395541879201,64.30979359177672,89.24194599266852
3.38e-05,91.87853528294941,3.416954185773083,63.52908109287627,91.87853528294941
3.4e-05,94.40961245759614,3.2625529187835136,63.07577935949901,94.40961245759614
3.42e-05,96.8263183233617,3.098066951365723,63.33216350126811,96.8263183233617
3.4399999999999996e-05,99.12118273178076,2.9269135286609598,63.31843856258236,99.12118273178076
3.46e-05,101.28926682708517,2.7485795896402347,63.623069520283806,101.28926682708517
3.48e-05,103.32525170830016,2.5649318453373464,63.86303676316554,103.32525170830016
3.5e-05,105.22520122336486,2.37630380341276,64.07089991043067,105.22520122336486
3.52e-05,106.98542626292986,2.18317095252007,64.41655323488908,106.98542626292986
3.54e-05,108.60258993146324,1.986697408977666,64.21738969623725,108.60258993146324
3.56e-05,110.07421764181707,1.78531623912903,64.05447762177263,110.07421764181707
3.5799999999999996e-05,111.39667411524599,1.579813484179304,64.05525580375785,111.39667411524599
3.6e-05,112.56690632574917,1.3714900491231998,64.33076007188234,112.56690632574917
3.62e-05,113.58282488065525,1.1620875835182543,65.09730672533192,113.58282488065525
3.64e-05,114.44363049807617,0.9542004598947419,67.05110323492242,114.44363049807617
3.6599999999999995e-05,115.15044565355376,0.7531799453233899,68.74109064463221,115.15044565355376
3.68e-05,115.70835672416368,0.5585043659438231,69.81144269058154,115.70835672416368
3.7e-05,116.12206366189984,0.3682146574181687,70.2707760413231,116.12206366189984
3.7199999999999996e-05,116.39481525998738,0.18039093104684378,70.16745301475068,116.39481525998738
3.74e-05,116.52843817187393,-0.006683209106665172,69.75137436343542,116.52843817187393
3.76e-05,116.52348764660974,-0.19371126583113923,70.05753190935766,116.52348764660974
3.78e-05,116.37999782006816,-0.37725055359017384,71.13949466763552,116.37999782006816
3.7999999999999995e-05,116.10055296555691,-0.5536855595568222,71.86079163740632,116.10055296555691
3.82e-05,115.69041551403335,-0.7240003781547427,72.0122754841517,115.69041551403335
